,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Kingdom,873.75471031257,710.4221476592422,880.00297399654,966.6266994084316,872.8636287420647,886.9307939655841,762.5538876279602,1155.023256632697,1083.1873320054633,1797.1860801227883,1900.3870514323169,2303.7876173422765,1477.556679327388,1226.8343661665156,930.2540390740172,1563.8254986128086,1649.000648547402,1333.8148275078756,1498.466946852973,2103.0,2122.0,2139.0,2397.0,2382.0,2432.0,2058.0,2197.0,2178.0,2529.0,2717.0,3140.0,3357.0,3284.0,3116.253293418469,3453.3188530112284
Turkey,216.1241779983457,172.82134944419607,155.1530581188953,230.6595228894179,163.78560253269916,171.28683767366203,130.6091793736758,138.76016322546585,157.0450731355974,31.52295900891314,261.87572316767984,229.5690374726101,165.3989783988863,72.30073719863152,44.10189713218031,0.0,0.0,0.0,177.91383295932044,109.49088275295136,26.0,51.0,136.0,147.0,153.0,126.0,105.0,162.0,232.0,497.0,590.0,920.0,941.0,657.0,342.0
Sweden,133.9273861305495,101.37045523318942,70.0,55.0,56.0,62.0,62.0,66.0,83.0,86.0,70.0,122.0,133.0,138.0,157.0,194.0,204.0,203.0,258.0,225.0,245.0,235.0,310.0,320.0,350.0,369.0,371.0,427.0,476.0,628.0,672.0,600.0,636.0,566.0,540.0
Spain,140.0,151.0,226.0,327.0,426.0,444.0,553.0,536.0,421.0,367.0,698.0,690.0,711.0,689.0,761.0,705.0,666.0,667.0,643.0,679.0,665.0,518.0,519.0,540.0,442.0,393.0,361.0,383.0,403.0,455.0,390.0,483.0,437.0,450.0,245.2751285312606
Slovenia,14.850651519711793,23.51762243534876,13.297657101012884,6.124521893377448,34.40860648137292,65.77668118418595,89.23952912290528,98.62378054719088,65.79642156603303,79.42949005447723,36.52221456151019,21.770367482076,13.0,19.0,23.0,19.0,21.0,26.0,22.0,25.0,36.0,26.0,42.0,36.0,28.0,25.0,24.0,26.0,28.0,28.0,32.0,40.0,47.0,59.0,74.0
Slovakia,16.96948333862091,31.72107872216015,32.47597488410885,48.17250860358948,96.49217214514812,151.6975494474327,210.4971123021601,179.6785513083754,129.83860266172346,90.95295533077564,73.14275012139181,91.27583821459274,93.278731842965,96.51895785222428,120.74709234665738,100.18296113724143,74.97313072684311,54.7675330018096,50.85883242545533,23.0,17.0,20.0,17.0,25.0,22.0,20.0,16.0,26.0,27.0,13.0,27.0,20.0,19.0,32.0,34.0
Romania,25.38429513463482,36.23214886707681,39.91285604594105,49.76470829456431,88.53063044618312,134.76640617278568,167.4324980481116,171.90713424457988,115.54907083143604,146.45718604893003,99.16611158895422,89.62561115316623,44.18309567025456,15.442564934024684,22.812474287998644,0.0,12.0,3.0,7.0,7.0,6.0,21.0,32.0,33.0,32.0,34.0,15.0,28.0,30.0,33.0,21.0,19.0,32.0,26.0,45.0
Portugal,23.111022910617503,34.55654040471676,41.75958566916074,48.50789380308456,85.53136780518112,135.45134255564153,174.72916673586158,160.2728958433198,104.87197856443572,102.36012875777236,62.896145843507725,72.22556126696499,53.51116745716482,56.91978972454576,60.0,52.0,76.0,34.0,23.0,20.0,9.0,12.0,14.0,20.0,27.0,26.0,10.0,16.0,28.0,37.0,54.0,30.0,51.0,55.0,85.0536349313203
Poland,44.53172311677994,49.81288382966229,46.02028950028412,50.079508490546544,110.53979653850789,155.0,213.0,199.0,211.0,185.0,175.0,179.0,253.0,235.0,292.0,310.0,294.0,324.0,277.0,231.0,290.0,241.0,214.0,244.0,247.0,261.0,285.0,227.0,247.0,279.0,255.0,204.0,202.0,199.0,196.9149625115096
Norway,45.0,44.0,43.0,48.0,45.0,70.0,88.0,104.0,93.0,124.0,143.0,195.0,185.0,274.0,237.0,360.0,398.0,291.0,255.0,303.0,234.0,251.0,275.0,263.0,285.0,248.0,262.0,246.0,234.0,266.0,289.0,282.0,247.0,286.0,312.52643025786153
Netherlands,57.0,68.0,54.0,51.0,56.0,70.0,80.0,75.0,75.0,87.0,70.0,108.0,108.0,110.0,115.0,131.0,144.0,103.0,104.0,127.0,122.0,112.0,99.0,129.0,139.0,94.0,103.0,118.0,144.0,123.0,197.0,235.0,262.0,224.0,252.0
Malta,2.916226718786004,12.242490465184243,3.7158778798429095,0.1782803020789041,4.287804129155666,8.971343851694733,3.0,6.0,1.0,9.0,1.0,2.0,5.0,5.0,5.0,6.0,7.0,8.0,5.0,6.0,8.0,7.0,11.0,8.0,8.0,5.0,5.0,7.0,3.0,2.0,8.0,5.0,5.0,3.0,0.0
