;;;;;;
Prevalence of drug use  >  Cannabis  >  Last year prevalence  >  All adults (15-64);;;;;;
;;;;;;
Country;Year;Sample size;Males;Females;Total;
Austria;2015;3477;7,2;5,6;6,4;
Belgium;2018;3954;10,4;3,7;7;
Bulgaria;2016;3996;5,9;2,3;4,2;
Croatia;2019;4994;14,2;6,2;10,2;
Cyprus;2019;3511;6,4;1,7;4;
Czechia;2019;833;14,6;4,2;9,4;
Denmark;2017;10196;8,7;4,6;6,4;
Estonia;2018;2234;9,2;4,8;6,6;
Finland;2018;2957;11,2;5,2;8,2;
France;2017;20665;15,1;7,1;11;
Germany;2018;9267;8,9;5,3;7,1;
Greece;2015;1519;4,1;1,6;2,8;
Hungary;2019;1385;2;0,6;1,3;
Ireland;2015;;11,2;4,3;7,7;
Italy;2017;10502;12,6;7,8;10,2;
Latvia;2015;4513;6,9;1,7;4,2;
Lithuania;2016;4794;4,6;1;2,7;
Luxembourg;2019;3514;7;4;5,4;
Malta;2013;;;;0,9;
Netherlands;2019;6127;12,1;6,4;9,3;
Norway;2019;1842;7,1;3;5,1;
Poland;2018;3013;5;2,6;3,8;
Portugal;2016;9632;7,3;3,1;5,1;
Romania;2019;7200;4,8;2,1;3,5;
Slovakia;2019;4039;5,9;1,7;3,8;
Slovenia;2018;9161;7,8;3,8;5,9;
Spain;2020;17899;14,6;6,3;10,5;
Sweden;2018;10892;5,2;2,4;3,9;
Turkey;2017;;2,2;0,1;1,1;
United Kingdom;2018;23072;9,5;4,6;7,1;
;;;;;;
(1) In surveys with small sample sizes results should be interpreted with caution.;;;;;;
(2) Countries were asked to report results using, as far as possible, EMCDDA standard age groups (all adults: 15-64, young adults: 15-34). In countries where age ranges are more restrictive, prevalence estimates may tend to be slightly higher. Some countries have recalculated their prevalence figures using the EMCDDA standard age groups.;;;;;;
(3) Data referring to years preceding 2008 are not presented.;;;;;;
(4) This table presents the results for the last surveys available in each country. It aims to present an overview of national surveys. Some city surveys reported by countries were not included as they tend to produce higher prevalence estimates which are not comparable with estimates for whole countries (or large regions with both urban and rural areas).;;;;;;
"(5) ""Sample size"" refers to the number of actual respondents to the survey (Net sample). In some cases, national surveys cover originally a broader age range (""original age range"") than that presented here for the standard groups ""All adults""(15-64) and ""Young adults"" (15-34). Sample sizes are presented respectively for the ""All adults"" (15-64), ""Young adults"" groups (15-34) and ""younger adults"" (15-24).";;;;;;
(6) United Kingdom: Data for the United Kingdom is for England and Wales only. The UK data has not been validated with the UK authorities since leaving the EU at the end of the transition period.;;;;;;
