;;;;;;
Prevalence of drug use  >  Cocaine  >  Last year prevalence  >  All adults (15-64);;;;;;
;;;;;;
Country;Year;Sample size;Males;Females;Total;
Austria;2015;3477;0,4;0,3;0,4;
Belgium;2018;3954;2,2;0,5;1,4;
Bulgaria;2016;3996;0,4;0,2;0,3;
Croatia;2019;4994;2,8;0,9;1,8;
Cyprus;2019;3511;0,9;0,1;0,5;
Czechia;2019;833;0,2;0,7;0,5;
Denmark;2017;10196;2,6;0,7;1,6;
Estonia;2018;2234;1,3;0,8;1;
Finland;2018;2957;1,4;0,5;0,9;
France;2017;20665;2,3;0,9;1,6;
Germany;2018;9267;1,4;0,8;1,1;
Greece;2015;1519;0,5;0,3;0,4;
Hungary;2019;1385;0,5;0,3;0,3;
Ireland;2015;;2,6;0,5;1,5;
Italy;2017;10502;1,5;0,9;1,2;
Latvia;2015;4513;0,8;0,3;0,5;
Lithuania;2016;4794;0,3;0;0,1;
Luxembourg;2019;3514;0,7;0,3;0,5;
Malta;;;;;;
Netherlands;2019;6127;3,4;1,3;2,3;
Norway;2019;1842;1,6;0,8;1,2;
Poland;2018;3013;0,3;0,2;0,3;
Portugal;2016;9632;0,3;0,1;0,2;
Romania;2019;7200;0,6;0,4;0,5;
Slovakia;2019;4039;0,3;0;0,1;
Slovenia;2018;9161;1;0,5;0,8;
Spain;2020;17899;4,1;1;2,5;
Sweden;2017;7990;1,7;0,6;1,2;
Turkey;2017;;0,1;;0,1;
United Kingdom;2018;23072;3,8;1,6;2,7;
;;;;;;
(1) This table presents the results for the last surveys available in each country. It aims to present an overview of national surveys. Some city surveys reported by countries were not included as they tend to produce higher prevalence estimates which are not comparable with estimates for whole countries (or large regions with both urban and rural areas).;;;;;;
(2) Countries were asked to report results using, as far as possible, EMCDDA standard age groups (all adults: 15-64, young adults: 15-34). In countries where age ranges are more restrictive, prevalence estimates may tend to be slightly higher. Some countries have recalculated their prevalence figures using the EMCDDA standard age groups.;;;;;;
(3) In surveys with small sample sizes results should be interpreted with caution.;;;;;;
(4) Cocaine, any form.;;;;;;
"(5) ""Sample size"" refers to the number of actual respondents to the survey (Net sample). In some cases, national surveys cover originally a broader age range (""original age range"") than that presented here for the standard groups ""All adults""(15-64) and ""Young adults"" (15-34). Sample sizes are presented respectively for the ""All adults"" (15-64), ""Young adults"" groups (15-34) and ""younger adults"" (15-24).";;;;;;
(6) Data referring to years preceding 2008 are not presented.;;;;;;
(7) United Kingdom: Data for the United Kingdom is for England and Wales only. The UK data has not been validated with the UK authorities since leaving the EU at the end of the transition period.;;;;;;
