;;;;;;;;;;;;;;
Drug law offences  >  Number of offences  >  Offenders;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Country;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;
Austria;;;;;;;;;;;;;;
Belgium;;54344;51172;49014;46224;47906;;;;;;;;
Bulgaria;2376;1989;2028;3759;;;;;;;;;;
Croatia;9442;9993;9951;10078;;8555;;5545;5715;5423;5019;5225;5679;
Cyprus;1177;1305;1094;1030;1111;1268;1165;1243;1052;973;831;930;1028;
Czechia;10168;11216;10208;4499;3816;3925;6887;4350;3928;4550;3092;2322;2031;
Denmark;30584;29542;17781;;;27094;;;;;;;;
Estonia;;;;;;;;;;;847;881;613;
Finland;27983;27587;25211;23081;22015;20610;21625;19178;20133;19855;18620;16777;16491;
France;188544;199024;199024;192120;199667;213976;207285;197580;197572;157341;159412;175691;134620;
Germany;;;;;;;;;;;;;;
Greece;13595;13528;17999;15482;14704;14589;14138;13451;12805;13580;16469;16183;13253;
Hungary;7263;8444;6860;6167;6043;6078;5141;4805;5594;5291;4382;4692;3881;
Ireland;;;;;;;;;;;;;;
Italy;73425;76799;73804;65679;61145;62845;65839;73527;76891;79245;76827;81356;85612;
Latvia;;4445;5173;2121;1895;1200;5837;4375;4583;4106;4369;4476;4010;
Lithuania;2389;2200;2357;1464;1721;872;1455;1489;1418;1703;1512;1227;1113;
Luxembourg;;1755;1969;2566;3345;2792;2066;1782;2210;2530;1963;1487;1687;
Malta;447;626;739;775;472;537;429;403;388;445;623;635;598;
Netherlands;;;;;;;;;;;;;;
Norway;;;;;;;;;;;;;;
Poland;33841;30106;30158;29399;26741;28398;;29340;29146;26865;26204;25971;27976;
Portugal;12102;13149;17490;17690;16976;14733;14288;14779;13076;13635;13897;11967;11946;
Romania;;8239;6669;7140;6718;627;913;1096;853;718;676;454;;
Slovakia;;1041;829;;969;1147;1191;1214;1204;1135;1079;912;786;
Slovenia;5993;;6860;3903;;4228;;5657;5919;4040;;4998;5091;
Spain;426085;402764;396693;414080;411157;420003;424167;396293;392295;337352;371326;305074;259279;
Sweden;;;;;;;;;;;25962;23920;21752;
Turkey;220010;206134;170175;114276;108003;117686;148121;130049;105665;126099;77654;27929;24877;
United Kingdom;;;54012;70094;71707;89614;101237;105620;112723;111744;;108161;97583;
;;;;;;;;;;;;;;
(1) Latvia: 2018-2017  offenders administrative plus criminal offences;;;;;;;;;;;;;;
(2) Italy :  41054 use related offences plus 35745 offenders with supply offences;;;;;;;;;;;;;;
(3) Czechia: CZ-2 2015-2014.;;;;;;;;;;;;;;
(4) Lithuania: In 2019 LT-3.;;;;;;;;;;;;;;
(5) Bulgaria: Since 2018 the source is the National Statistical Institute, before data was provided from Police statistics.;;;;;;;;;;;;;;
