;;;;;;;;;;;;;
Problem drug use  >  Overall (ex PDU)  >  All years  >  Geo-coverage  >  National;;;;;;;;;;;;;
;;;;;;;;;;;;;
Country;Year;AA;Method;Central Estimate;Lower Bound of Prevalence Estimate;Upper Bound of Prevalence Estimate;Central rate/1000 (15-64);Lower rate/1000 (15-64);Upper rate/1000 (15-64);Population (15-64);Bibliographic Reference;Target Population Definition;
Austria;1995;20a;CR;17276;15980;18672;3,19;2,95;3,45;5412819;12;Opioids;
Austria;2019;20a;CR;31833;30924;32743;5,39;5,23;5,54;5911524;16;Opioids;
Austria;2000;20a;CR;20144;18661;21628;3,67;3,4;3,94;5483440;12;Opioids;
Austria;2001;20a;CR;17750;16620;18880;3,26;3,06;3,47;5437765;12;Opioids;
Austria;2002;20a;CR;21875;20436;23313;4;2,54;4,27;5464737;12;Opioids;
Austria;2003;20a;CR;27447;25669;29226;5;4,67;5,32;5493846;12;Opioids;
Austria;2004;20a;CR;29597;27763;31431;5,38;5,04;5,71;5505589;12;Opioids;
Austria;2005;20a;CR;30254;28491;32018;5,43;5,11;5,74;5577212;12;Opioids;
Austria;2006;20a;CR;25194;23908;26481;4,5;4,27;4,73;5595752;12;Opioids;
Austria;2007;20a;CR;23178;22198;24157;4,14;3,97;4,32;5595752;12;Opioids;
Austria;2008;20a;CR;24721;23514;25929;4,38;4,16;4,59;5646432;1;Opioids;
Austria;2009;20a;CR;33429;32410;34448;5,9;5,7;6,1;5642785;"1;13";Opioids;
Austria;2010;20a;CR;33274;32388;34160;5,9;5,7;6;5654499;"1;13";Opioids;
Austria;2011;20a;CR;30306;29500;31111;5,3;5,2;5,5;5689364;"1;13";Opioids;
Austria;2012;20a;CR;28619;27919;29319;5,03;4,9;5,15;5693436;14;Opioids;
Austria;2013;20a;CR;28550;27790;29311;4,99;4,86;5,12;5716968;14;Opioids;
Austria;2015;20a;CR;31473;30393;32554;5,45;5,26;5,64;5774985;15;Opioids;
Austria;2016;20a;CR;36572;35289;37854;6,25;6,03;6,47;5848657;16;Opioids;
Austria;2017;20a;CR;36943;35764;38122;6,28;6,08;6,48;5883608;16;Opioids;
Austria;2018;20a;CR;35956;35956;35956;6,09;5,88;6,31;5902273;16;Opioids;
Austria;1999;20a;CR;17801;16569;19033;3,26;3,04;3,49;5457652;12;Opioids;
Belgium;;1;;;;;;;;;;;
Bulgaria;2016;2b;GPS;31244;19487;43001;6,75;4,21;9,29;4628724;3;Heroin, Methadone,Other opioids, cocaine,methamphetamine, MDMA and derivatives, Cannabis;
Bulgaria;2016;2b;GPS;17358;8609;26106;3,75;1,86;5,64;4628724;3;Heroin, Methadone,Other opioids, cocaine,methamphetamine, MDMA and derivatives;
Bulgaria;2009;2a;CR;31316;23050;42920;6,01;4,42;8,24;5211619;;Heroin, other opioids, cocaine and amphetamines;
Croatia;2011;11a;MM;9795;8104;12553;3,3;2,7;4,23;296981;1;Opiates, cocaine or amphetamines;
Croatia;2012;11a;MM;10012;7842;13723;3,48;2,73;4,78;2873828;1;Heroin, cocaine, Amphetamine;
Cyprus;2006;13a;TP;801;684;966;1,5;1,28;1,81;532800;;Opioids,cocaine;
Cyprus;2019;13a;TP;1659;1384;2028;2,79;2,33;3,41;593600;2;Buprenorphine, Cocaine, Crack Cocaine, Heroin, Methadone, Other Opioids.;
Cyprus;2018;13a;TP;1831;1532;2227;3,12;2,61;3,79;586600;2;Buprenorphine, Cocaine, Crack Cocaine, Heroin, Methadone, Other Opioids.;
Cyprus;2017;13a;TP;1650;1358;2047;2,83;2,33;3,51;582400;2;Heroin, Methadone, Buprenorphine, other opioids, cocaine, crack cocaine;
Cyprus;2016;13a;TP;1179;1001;1421;2,5;2,12;3,01;471600;2;Heroin, Methadone, Buprenorphine, other opioids, cocaine, crack cocaine;
Cyprus;2015;13a;TP;1460;1192;1829;3,09;2,52;3,87;471600;2;Heroin, Methadone, other opioids, cocaine, crack cocaine;
Cyprus;2014;13a;TP;1620;1318;2033;2,7;2,19;3,39;599500;2;Heroin, Methadone, other opioids, cocaine, crack cocaine;
Cyprus;2013;13a;TP;1221;984;1556;2;1,61;2,55;609700;2;Heroin, Methadone, other opioids, cocaine, crack cocaine;
Cyprus;2012;13a;TP;1079;911;1311;1,77;1,5;2,15;609400;2;Heroin, Methadone, other opioids, cocaine, crack cocaine;
Cyprus;2011;13a;TP;1240;1045;1506;2,09;1,76;2,53;593593;2;Opioids,cocaine;
Cyprus;2010;13a;TP;867;774;993;1,54;1,37;1,76;562800;2;Opioids,cocaine;
Cyprus;2009;13a;TP;1398;1182;1688;2,5;2,11;3,02;558995;2;Opioids,cocaine;
Cyprus;2008;13a;TP;1087;907;1337;2;1,6;2,4;553200;7;Opioids,cocaine;
Cyprus;2007;13a;TP;1991;1591;2541;3,66;2,92;4,67;543250;5;Opioids,cocaine;
Czechia;2014;3a;TM;47700;43400;51900;6,73;6,13;7,32;7082686;"2;7";Heroin, Buprenorphine,methamphetamine. ;
Czechia;2015;3a;TM;46900;45200;48600;6,68;6,44;6,94;7024962;"2; 8; 9";Heroin, Methadone, Buprenorphine, Fentanyl illicit, Other opioids, methamphetamine. ;
Czechia;2016;3a;TM;46800;45100;48400;6,71;6,46;6,95;6969535;2;Heroin, Methadone, Buprenorphine, Fentanyl illicit, Other opioids, methamphetamine. ;
Czechia;2017;3a;TM;47800;46100;49600;6,91;6,66;7,17;6916867;"2; 9; 10";Heroin, Methadone, Buprenorphine, Fentanyl illicit, Other opioids, methamphetamine. ;
Czechia;2018;3a;TM;43700;42100;45300;6,49;6,25;6,73;6733707;"2; 9; 10";Buprenorphine, Fentanyl Illicit, Heroin, Methadone, Methamphetamine, Other Opioids.;
Czechia;2013;3a;TM;44900;44500;45400;6,28;6,23;6,35;7145822;2;Heroin, Buprenorphine,methamphetamine. ;
Czechia;2012;3a;TM;41300;40900;41700;5,71;5,66;5,77;7224196;2;Heroin, Buprenorphine,methamphetamine. ;
Czechia;2011;3a;TM;40200;32700;47700;5,51;4,48;6,54;7295598;2;Amphetamines or opiate users;
Czechia;2010;3a;TM;39150;32000;46300;5,3;4,33;6,26;7394316;2;Amphetamines or opiate users;
Czechia;2009;3a;TM;37400;33300;41500;5,04;4,48;5,59;7425083;2;Amphetamines or opiate users;
Czechia;2008;3a;TM;32500;30400;34700;4,39;4,1;4,67;7414532;2;Amphetamines or opiate users;
Czechia;2007!;3b;CR;30982;25464;39414;3;2,47;3,82;7350513;2;Amphetamines or opiate users;
Czechia;2007;3a;TM;30900;28900;32700;4,2;3,94;4,46;7350513;2;Amphetamines or opiate users;
Czechia;2006!;3b;CR;23885;20662;28533;3,27;2,83;3,9;7307591;2;Amphetamines or opiate users;
Czechia;2006;3a;OT;30178;26544;35133;4,13;3,63;4,81;7307591;2;Amphetamines or opiate users;
Czechia;2005;3a;TM;31800;28600;35700;4,37;3,93;4,91;7274860;5;Amphetamines or opiate users;
Czechia;2004#;3a;TM;30000;26900;33700;4,14;3,72;4,65;7239720;4;Amphetamines or opiate users;
Czechia;2003#;3a;TM;;;;4,02;;;;99;Amphetamines or opiate users;
Czechia;2019;3a;TM;45100;43400;46700;6,57;6,33;6,81;6859082;"2; 9; 10";Buprenorphine, Fentanyl Illicit, Heroin, Methadone, Methamphetamine, Other Opioids.;
Czechia;2002;3b;CR;21300;13700;34500;3;1,9;4,8;7233788;1;Amphetamines or opiate users;
Czechia;2000;3a;TM;37500;30000;45000;5,24;4,19;6,29;7152802;2;Amphetamines or opiate users;
Czechia;2002#;3a;TM;35100;;;4,9;;;7170017;3;Amphetamines or opiate users;
Denmark;1996#;4b;CR;14007;12752;15248;3,96;3,61;4,31;3535829;"99 ; 2";Drug abuse diagnosis;
