Region;Subregion;Country/Territory;;;;;;
AFRICA;East Africa;Burundi;;;;;;
AFRICA;East Africa;Comoros;;;;;;
AFRICA;East Africa;Ethiopia;;;;;;
AFRICA;East Africa;Uganda;;;;;;
AFRICA;East Africa;Kenya;;;;;;
AFRICA;East Africa;Madagascar;;;;;;
AFRICA;East Africa;Mauritius;;;;;;
AFRICA;East Africa;Seychelles;;;;;;
AFRICA;East Africa;United Republic of Tanzania;;;;;;
AFRICA;East Africa;Djibouti;;;;;;
AFRICA;East Africa;Eritrea;;;;;;
AFRICA;East Africa;Mayotte;;;;;;
AFRICA;East Africa;Rwanda;;;;;;
AFRICA;East Africa;Somalia;;;;;;
AFRICA;East Africa;South Sudan;;;;;;
AFRICA;North Africa;Algeria;;;;;;
AFRICA;North Africa;Egypt;;;;;;
AFRICA;North Africa;Libya;;;;;;
AFRICA;North Africa;Morocco;;;;;;
AFRICA;North Africa;Tunisia;;;;;;
AFRICA;North Africa;Sudan;;;;;;
AFRICA;Southern Africa;Mozambique;;;;;;
AFRICA;Southern Africa;South Africa;;;;;;
AFRICA;Southern Africa;Angola;;;;;;
AFRICA;Southern Africa;Botswana;;;;;;
AFRICA;Southern Africa;Lesotho;;;;;;
AFRICA;Southern Africa;Malawi;;;;;;
AFRICA;Southern Africa;Namibia;;;;;;
AFRICA;Southern Africa;Réunion;;;;;;
AFRICA;Southern Africa;Eswatini;;;;;;
AFRICA;Southern Africa;Zambia;;;;;;
AFRICA;Southern Africa;Zimbabwe;;;;;;
AFRICA;West and Central Africa;Benin;;;;;;
AFRICA;West and Central Africa;Cabo Verde;;;;;;
AFRICA;West and Central Africa;Democratic Republic of the Congo;;;;;;
AFRICA;West and Central Africa;Côte d'Ivoire;;;;;;
AFRICA;West and Central Africa;Ghana;;;;;;
AFRICA;West and Central Africa;Liberia;;;;;;
AFRICA;West and Central Africa;Mali;;;;;;
AFRICA;West and Central Africa;Nigeria;;;;;;
AFRICA;West and Central Africa;Senegal;;;;;;
AFRICA;West and Central Africa;Sierra Leone;;;;;;
AFRICA;West and Central Africa;Togo;;;;;;
AFRICA;West and Central Africa;Burkina Faso;;;;;;
AFRICA;West and Central Africa;Cameroon;;;;;;
AFRICA;West and Central Africa;Central African Republic;;;;;;
AFRICA;West and Central Africa;Chad;;;;;;
AFRICA;West and Central Africa;Congo;;;;;;
AFRICA;West and Central Africa;Equatorial Guinea;;;;;;
AFRICA;West and Central Africa;Gabon;;;;;;
AFRICA;West and Central Africa;Gambia;;;;;;
AFRICA;West and Central Africa;Guinea;;;;;;
AFRICA;West and Central Africa;Guinea-Bissau;;;;;;
AFRICA;West and Central Africa;Mauritania;;;;;;
AFRICA;West and Central Africa;Niger;;;;;;
AFRICA;West and Central Africa;Saint Helena;;;;;;
AFRICA;West and Central Africa;Sao Tome and Principe;;;;;;
AMERICA;North America;Canada;;;;;;
AMERICA;North America;Mexico;;;;;;
AMERICA;North America;United States of America;;;;;;
AMERICA;North America;Bermuda;;;;;;
AMERICA;North America;Greenland;;;;;;
AMERICA;Central America;Guatemala;;;;;;
AMERICA;Central America;Nicaragua;;;;;;
AMERICA;Central America;Belize;;;;;;
AMERICA;Central America;Costa Rica;;;;;;
AMERICA;Central America;El Salvador;;;;;;
AMERICA;Central America;Honduras;;;;;;
AMERICA;Central America;Panama;;;;;;
AMERICA;South America;Argentina;;;;;;
AMERICA;South America;Brazil;;;;;;
AMERICA;South America;Colombia;;;;;;
AMERICA;South America;Paraguay;;;;;;
AMERICA;South America;Peru;;;;;;
AMERICA;South America;Uruguay;;;;;;
AMERICA;South America;Bolivia (Plurinational State of);;;;;;
AMERICA;South America;Chile;;;;;;
AMERICA;South America;Ecuador;;;;;;
AMERICA;South America;Falkland Islands (Malvinas);;;;;;
AMERICA;South America;French Guiana;;;;;;
AMERICA;South America;Guyana;;;;;;
AMERICA;South America;Suriname;;;;;;
AMERICA;South America;Venezuela (Bolivarian Republic of);;;;;;
AMERICA;Caribbean;Aruba;;;;;;
AMERICA;Caribbean;Bahamas;;;;;;
AMERICA;Caribbean;Puerto Rico;;;;;;
AMERICA;Caribbean;Saint Lucia;;;;;;
AMERICA;Caribbean;Anguilla;;;;;;
AMERICA;Caribbean;Antigua and Barbuda;;;;;;
AMERICA;Caribbean;Barbados;;;;;;
AMERICA;Caribbean;Bonaire, Sint Eustatius and Saba;;;;;;
AMERICA;Caribbean;British Virgin Islands;;;;;;
AMERICA;Caribbean;Cayman Islands;;;;;;
AMERICA;Caribbean;Cuba;;;;;;
AMERICA;Caribbean;Dominica;;;;;;
AMERICA;Caribbean;Dominican Republic;;;;;;
AMERICA;Caribbean;Grenada;;;;;;
AMERICA;Caribbean;Guadeloupe;;;;;;
AMERICA;Caribbean;Haiti;;;;;;
AMERICA;Caribbean;Jamaica;;;;;;
AMERICA;Caribbean;Martinique;;;;;;
AMERICA;Caribbean;Montserrat;;;;;;
AMERICA;Caribbean;Curaçao;;;;;;
AMERICA;Caribbean;Sint Maarten (Dutch part);;;;;;
AMERICA;Caribbean;Saint Kitts and Nevis;;;;;;
AMERICA;Caribbean;Saint Vincent and the Grenadines;;;;;;
AMERICA;Caribbean;Trinidad and Tobago;;;;;;
AMERICA;Caribbean;Turks and Caicos Islands;;;;;;
AMERICA;Caribbean;United States Virgin Islands;;;;;;
ASIA;Central Asia and Transcaucasia;Armenia;;;;;;
ASIA;Central Asia and Transcaucasia;Azerbaijan;;;;;;
ASIA;Central Asia and Transcaucasia;Georgia;;;;;;
ASIA;Central Asia and Transcaucasia;Kazakhstan;;;;;;
ASIA;Central Asia and Transcaucasia;Kyrgyzstan;;;;;;
ASIA;Central Asia and Transcaucasia;Tajikistan;;;;;;
ASIA;Central Asia and Transcaucasia;Uzbekistan;;;;;;
ASIA;Central Asia and Transcaucasia;Turkmenistan;;;;;;
ASIA;East and South-East Asia;Brunei Darussalam;;;;;;
ASIA;East and South-East Asia;Cambodia;;;;;;
ASIA;East and South-East Asia;China;;;;;;
ASIA;East and South-East Asia;China, Hong Kong SAR;;;;;;
ASIA;East and South-East Asia;China, Macao SAR;;;;;;
ASIA;East and South-East Asia;Indonesia;;;;;;
ASIA;East and South-East Asia;Japan;;;;;;
ASIA;East and South-East Asia;Malaysia;;;;;;
ASIA;East and South-East Asia;Myanmar;;;;;;
ASIA;East and South-East Asia;Philippines;;;;;;
ASIA;East and South-East Asia;Republic of Korea;;;;;;
ASIA;East and South-East Asia;Singapore;;;;;;
ASIA;East and South-East Asia;China, Taiwan Province of China;;;;;;
ASIA;East and South-East Asia;Thailand;;;;;;
ASIA;East and South-East Asia;Viet Nam;;;;;;
ASIA;East and South-East Asia;Democratic People's Republic of Korea;;;;;;
ASIA;East and South-East Asia;Lao People's Democratic Republic;;;;;;
ASIA;East and South-East Asia;Mongolia;;;;;;
ASIA;East and South-East Asia;Timor-Leste;;;;;;
ASIA;South-West Asia;Afghanistan;;;;;;
ASIA;South-West Asia;Iran (Islamic Republic of);;;;;;
